country_code,statistic,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
AFG,Investment in water and sanitation with private participation (current US$),,,,,,,,,,,,,,,,
AFG,People using at least basic drinking water services (% of population),27.06985916,27.16058642,29.68308518,32.20951962,34.73993262,37.27590709,39.81787016,42.36563296,44.91963216,47.47966935,50.04619073,52.61932497,55.19920073,57.78594666,60.37934056,62.98020808
AFG,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",,,,,,,,,,,,,,,,
AFG,"People using at least basic drinking water services, rural (% of rural population)",20.92063128,20.92063128,23.24652628,25.57242128,27.89831629,30.22421129,32.55010629,34.87600129,37.20189629,39.5277913,41.85368629999999,44.179581299999995,46.5054763,48.8313713,51.15726631,53.48316131
AFG,"People using at least basic drinking water services, urban (% of urban population)",49.81466325,49.81466325,52.61708936,55.41951547,58.22194157,61.02436768,63.82679379,66.6292199,69.431646,72.23407211,75.03649822,77.83892433,80.64135043,83.44377654,86.24620265,89.04862876
AFG,People using safely managed drinking water services (% of population),,,,,,,,,,,,,,,,
AFG,"People using safely managed drinking water services, rural (% of rural population)",,,,,,,,,,,,,,,,
AFG,"People using safely managed drinking water services, urban (% of urban population)",,,,,,,,,,,,,,,,
AFG,People with basic handwashing facilities including soap and water (% of population),,,,,,36.93204,37.05025,37.17123,37.29531,37.42216,37.55213,37.6852,37.82138,37.960679999999996,38.102740000000004,38.24825
AFG,"People with basic handwashing facilities including soap and water, rural (% of rural population)",,,,,,29.01854,29.01854,29.01854,29.01854,29.01854,29.01854,29.01854,29.01854,29.01854,29.01854,29.01854
AFG,"People with basic handwashing facilities including soap and water, urban (% of urban population)",,,,,,63.58285,63.58285,63.58285,63.58285,63.58285,63.58285,63.58285,63.58285,63.58285,63.58285,63.58285
AFG,Public private partnerships investment in water and sanitation (current US$),,,,,,,,,,,,,,,,
AFG,Renewable internal freshwater resources per capita (cubic meters),,,2145.1394530000002,,,,,1771.4381210000001,,,,,1535.982816,,1439.342182,
AFG,"Renewable internal freshwater resources, total (billion cubic meters)",,,47.15,,,,,47.15,,,,,47.15,,47.15,
AFG,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,,,,
ALB,Investment in water and sanitation with private participation (current US$),,,8000000.0,,,,,,,,,,,,,
ALB,People using at least basic drinking water services (% of population),87.58479499,87.65395136,87.72387952,87.7887929,87.84864255,87.90287790000001,87.95172798,87.99504018,88.03267279,88.06392235,88.08949233,88.10882098,88.23500804,89.84174957,91.36792313,91.39433316
ALB,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",,,,,,,,,,,,,,,,
ALB,"People using at least basic drinking water services, rural (% of rural population)",81.82778762,81.87077663,81.91376565,81.95675466,81.99974368,82.04273269,82.08572171,82.12871072,82.17169974,82.21468875,82.25767777,82.30066678,82.59078196,86.23110092,89.87517388,89.87517388
ALB,"People using at least basic drinking water services, urban (% of urban population)",95.62,95.49908989,95.27004221,95.04099454,94.81194687,94.58289919,94.35385152,94.12480384,93.89575617,93.66670849,93.43766082,93.20861314,92.97956547,92.75051779,92.52147012,92.52147012
ALB,People using safely managed drinking water services (% of population),43.23526734,45.108835299999996,46.96694783,48.82130378,50.67153528,52.51718209,54.35792086,56.19335844,58.02310323,59.8466761,61.66382861,63.47411244,65.27720509,67.07239399,68.85950421,68.86997943
ALB,"People using safely managed drinking water services, rural (% of rural population)",,,,,,,,,,,,,,,,
ALB,"People using safely managed drinking water services, urban (% of urban population)",,,,,,,,,,,,,,,,
ALB,People with basic handwashing facilities including soap and water (% of population),,,,,,,,,,,,,,,,
ALB,"People with basic handwashing facilities including soap and water, rural (% of rural population)",,,,,,,,,,,,,,,,
ALB,"People with basic handwashing facilities including soap and water, urban (% of urban population)",,,,,,,,,,,,,,,,
ALB,Public private partnerships investment in water and sanitation (current US$),,,8000000.0,,,,,,,,,,,,,
ALB,Renewable internal freshwater resources per capita (cubic meters),,,8816.752484999999,,,,,9057.187215,,,,,9274.579618000002,,9310.845162,
ALB,"Renewable internal freshwater resources, total (billion cubic meters)",,,26.9,,,,,26.9,,,,,26.9,,26.9,
ALB,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",3.772318489,,,,,,7.450123575,,,,,,,,,
